group1,n1,mean1,group2,n2,mean2,p_value
Autosome,6955,-1.3906574930160165,Xi-silent,21,-1.239800416997786,0.3912275353768241
Autosome,6955,-1.3906574930160165,Xi-expressed,6,-1.1347626871450605,0.495386100318336
Autosome,6955,-1.3906574930160165,PAR1,4,-0.7430378019493448,0.09538695656524587
Xi-silent,21,-1.239800416997786,Xi-expressed,6,-1.1347626871450605,0.887165974122496
Xi-silent,21,-1.239800416997786,PAR1,4,-0.7430378019493448,0.45154150197628456
Xi-expressed,6,-1.1347626871450605,PAR1,4,-0.7430378019493448,0.35238095238095235
