group1,n1,mean1,group2,n2,mean2,p_value
Autosome,6955,-1.0713373482877306,Xi-silent,21,-0.4798427418770408,0.028204358306228014
Autosome,6955,-1.0713373482877306,Xi-expressed,6,-0.993648013481231,0.8741186286391914
Autosome,6955,-1.0713373482877306,PAR1,4,-1.9433453139716472,0.14925211220266685
Xi-silent,21,-0.4798427418770408,Xi-expressed,6,-0.993648013481231,0.26311948920644573
Xi-silent,21,-0.4798427418770408,PAR1,4,-1.9433453139716472,0.024505928853754938
Xi-expressed,6,-0.993648013481231,PAR1,4,-1.9433453139716472,0.11428571428571428
