group1,n1,mean1,group2,n2,mean2,p_value
Autosome,6955,0.3193201447282856,Xi-silent,21,0.7599576751207454,0.029670232068498666
Autosome,6955,0.3193201447282856,Xi-expressed,6,0.14111467366382965,0.5012331193093921
Autosome,6955,0.3193201447282856,PAR1,4,-1.2003075120223023,0.006103792011229021
Xi-silent,21,0.7599576751207454,Xi-expressed,6,0.14111467366382965,0.04881591838113577
Xi-silent,21,0.7599576751207454,PAR1,4,-1.2003075120223023,0.004268774703557312
Xi-expressed,6,0.14111467366382965,PAR1,4,-1.2003075120223023,0.11428571428571428
